date,store_id,item_id,product_name,category,qty_sold,price,on_promo,discount_pct,stock_on_hand,stockout_flag,unit_cost,pack_size,shelf_life_days,supplier_lead_time_days,ordering_cost,holding_cost_rate,holiday_flag,festival_flag,week_start
2022-01-01,S001,P001,Rice 5kg,Grocery,28,250.0,0,0.0,322,0,180,5,365,7,500,0.2,0,0,2021-12-27
2022-01-02,S001,P001,Rice 5kg,Grocery,18,250.0,0,0.0,304,0,180,5,365,7,500,0.2,0,0,2021-12-27
2022-01-03,S001,P001,Rice 5kg,Grocery,22,237.5,1,0.05,282,0,180,5,365,7,500,0.2,0,0,2022-01-03
2022-01-04,S001,P001,Rice 5kg,Grocery,22,250.0,0,0.0,260,0,180,5,365,7,500,0.2,0,0,2022-01-03
2022-01-05,S001,P001,Rice 5kg,Grocery,15,250.0,0,0.0,245,0,180,5,365,7,500,0.2,0,0,2022-01-03
2022-01-06,S001,P001,Rice 5kg,Grocery,14,250.0,0,0.0,231,0,180,5,365,7,500,0.2,0,0,2022-01-03
2022-01-07,S001,P001,Rice 5kg,Grocery,19,250.0,0,0.0,562,0,180,5,365,7,500,0.2,0,0,2022-01-03
2022-01-08,S001,P001,Rice 5kg,Grocery,21,250.0,0,0.0,541,0,180,5,365,7,500,0.2,0,0,2022-01-03
2022-01-09,S001,P001,Rice 5kg,Grocery,18,250.0,0,0.0,523,0,180,5,365,7,500,0.2,0,0,2022-01-03
2022-01-10,S001,P001,Rice 5kg,Grocery,17,225.0,1,0.1,506,0,180,5,365,7,500,0.2,0,0,2022-01-10
2022-01-11,S001,P001,Rice 5kg,Grocery,15,250.0,0,0.0,491,0,180,5,365,7,500,0.2,0,0,2022-01-10
2022-01-12,S001,P001,Rice 5kg,Grocery,20,250.0,0,0.0,471,0,180,5,365,7,500,0.2,0,0,2022-01-10
2022-01-13,S001,P001,Rice 5kg,Grocery,20,250.0,0,0.0,451,0,180,5,365,7,500,0.2,0,0,2022-01-10
2022-01-14,S001,P001,Rice 5kg,Grocery,25,237.5,1,0.05,426,0,180,5,365,7,500,0.2,0,0,2022-01-10
2022-01-15,S001,P001,Rice 5kg,Grocery,29,237.5,1,0.05,397,0,180,5,365,7,500,0.2,0,0,2022-01-10
2022-01-16,S001,P001,Rice 5kg,Grocery,18,250.0,0,0.0,379,0,180,5,365,7,500,0.2,0,0,2022-01-10
2022-01-17,S001,P001,Rice 5kg,Grocery,13,250.0,0,0.0,366,0,180,5,365,7,500,0.2,0,0,2022-01-17
2022-01-18,S001,P001,Rice 5kg,Grocery,22,225.0,1,0.1,344,0,180,5,365,7,500,0.2,0,0,2022-01-17
2022-01-19,S001,P001,Rice 5kg,Grocery,26,250.0,0,0.0,318,0,180,5,365,7,500,0.2,0,0,2022-01-17
2022-01-20,S001,P001,Rice 5kg,Grocery,27,250.0,0,0.0,291,0,180,5,365,7,500,0.2,0,0,2022-01-17
2022-01-21,S001,P001,Rice 5kg,Grocery,15,250.0,0,0.0,276,0,180,5,365,7,500,0.2,0,0,2022-01-17
2022-01-22,S001,P001,Rice 5kg,Grocery,26,225.0,1,0.1,250,0,180,5,365,7,500,0.2,0,0,2022-01-17
