store_id,item_id,forecast_date,predicted_qty,method
S001,P001,2024-01-01,21.63,RandomForest
S001,P001,2024-01-02,23.71,RandomForest
S001,P001,2024-01-03,23.91,RandomForest
S001,P001,2024-01-04,23.78,RandomForest
S001,P001,2024-01-05,23.73,RandomForest
S001,P001,2024-01-06,29.37,RandomForest
S001,P001,2024-01-07,29.15,RandomForest
S001,P001,2024-01-08,21.6,RandomForest
S001,P001,2024-01-09,23.69,RandomForest
S001,P001,2024-01-10,23.81,RandomForest
S001,P001,2024-01-11,23.64,RandomForest
S001,P001,2024-01-12,23.62,RandomForest
S001,P001,2024-01-13,29.44,RandomForest
S001,P001,2024-01-14,29.19,RandomForest
S001,P001,2024-01-15,21.56,RandomForest
S001,P001,2024-01-16,23.57,RandomForest
S001,P001,2024-01-17,23.69,RandomForest
S001,P001,2024-01-18,23.66,RandomForest
S001,P001,2024-01-19,23.69,RandomForest
S001,P001,2024-01-20,29.47,RandomForest
S001,P001,2024-01-21,29.25,RandomForest
S001,P001,2024-01-22,21.58,RandomForest
S001,P001,2024-01-23,23.58,RandomForest
S001,P001,2024-01-24,23.69,RandomForest
S001,P001,2024-01-25,23.62,RandomForest
S001,P001,2024-01-26,23.59,RandomForest
S001,P001,2024-01-27,29.42,RandomForest
S001,P001,2024-01-28,29.2,RandomForest
S001,P001,2024-01-29,21.34,RandomForest
S001,P001,2024-01-30,23.4,RandomForest
S001,P002,2024-01-01,47.2,RandomForest
S001,P002,2024-01-02,50.38,RandomForest
S001,P002,2024-01-03,50.58,RandomForest
S001,P002,2024-01-04,50.5,RandomForest
S001,P002,2024-01-05,50.62,RandomForest
S001,P002,2024-01-06,60.91,RandomForest
S001,P002,2024-01-07,60.99,RandomForest
S001,P002,2024-01-08,47.3,RandomForest
S001,P002,2024-01-09,50.52,RandomForest
S001,P002,2024-01-10,50.7,RandomForest
S001,P002,2024-01-11,50.56,RandomForest
S001,P002,2024-01-12,50.78,RandomForest
S001,P002,2024-01-13,61.08,RandomForest
S001,P002,2024-01-14,61.21,RandomForest
S001,P002,2024-01-15,47.4,RandomForest
S001,P002,2024-01-16,50.65,RandomForest
S001,P002,2024-01-17,50.82,RandomForest
S001,P002,2024-01-18,50.71,RandomForest
S001,P002,2024-01-19,50.94,RandomForest
S001,P002,2024-01-20,61.46,RandomForest
S001,P002,2024-01-21,61.55,RandomForest
S001,P002,2024-01-22,47.45,RandomForest
S001,P002,2024-01-23,50.79,RandomForest
S001,P002,2024-01-24,51.04,RandomForest
S001,P002,2024-01-25,51.03,RandomForest
S001,P002,2024-01-26,51.08,RandomForest
S001,P002,2024-01-27,61.77,RandomForest
S001,P002,2024-01-28,61.92,RandomForest
S001,P002,2024-01-29,47.31,RandomForest
S001,P002,2024-01-30,50.78,RandomForest
S001,P003,2024-01-01,13.85,RandomForest
S001,P003,2024-01-02,15.21,RandomForest
S001,P003,2024-01-03,15.27,RandomForest
S001,P003,2024-01-04,15.31,RandomForest
S001,P003,2024-01-05,15.15,RandomForest
S001,P003,2024-01-06,19.13,RandomForest
S001,P003,2024-01-07,19.17,RandomForest
S001,P003,2024-01-08,13.83,RandomForest
S001,P003,2024-01-09,15.24,RandomForest
S001,P003,2024-01-10,15.31,RandomForest
S001,P003,2024-01-11,15.34,RandomForest
S001,P003,2024-01-12,15.19,RandomForest
S001,P003,2024-01-13,19.17,RandomForest
S001,P003,2024-01-14,19.23,RandomForest
S001,P003,2024-01-15,13.87,RandomForest
S001,P003,2024-01-16,15.29,RandomForest
S001,P003,2024-01-17,15.37,RandomForest
S001,P003,2024-01-18,15.48,RandomForest
S001,P003,2024-01-19,15.33,RandomForest
S001,P003,2024-01-20,19.37,RandomForest
S001,P003,2024-01-21,19.44,RandomForest
S001,P003,2024-01-22,14.0,RandomForest
S001,P003,2024-01-23,15.39,RandomForest
S001,P003,2024-01-24,15.45,RandomForest
S001,P003,2024-01-25,15.49,RandomForest
S001,P003,2024-01-26,15.37,RandomForest
S001,P003,2024-01-27,19.47,RandomForest
S001,P003,2024-01-28,19.46,RandomForest
S001,P003,2024-01-29,14.05,RandomForest
S001,P003,2024-01-30,15.41,RandomForest
S001,P004,2024-01-01,35.38,RandomForest
S001,P004,2024-01-02,38.04,RandomForest
S001,P004,2024-01-03,38.23,RandomForest
S001,P004,2024-01-04,38.36,RandomForest
S001,P004,2024-01-05,38.29,RandomForest
S001,P004,2024-01-06,47.02,RandomForest
S001,P004,2024-01-07,47.08,RandomForest
S001,P004,2024-01-08,35.28,RandomForest
S001,P004,2024-01-09,38.03,RandomForest
S001,P004,2024-01-10,38.21,RandomForest
S001,P004,2024-01-11,38.32,RandomForest
S001,P004,2024-01-12,38.26,RandomForest
S001,P004,2024-01-13,47.0,RandomForest
S001,P004,2024-01-14,47.02,RandomForest
S001,P004,2024-01-15,35.39,RandomForest
S001,P004,2024-01-16,38.18,RandomForest
